career,soc_code,normalization,net_risk6,baseline_net_risk5,sign_stable_vs_5d
Software Dev,15-1252,percentile,0.44347545219638246,0.3799526270456503,True
Electrician,47-2111,percentile,-0.48401162790697677,-0.45714900947459086,True
Writer,27-3043,percentile,0.28100775193798444,0.17000430663221355,True
Software Dev,15-1252,zscore,0.4739785166130282,0.3799526270456503,True
Electrician,47-2111,zscore,-0.4857952510059216,-0.45714900947459086,True
Writer,27-3043,zscore,0.33117719466945966,0.17000430663221355,True
Software Dev,15-1252,minmax,0.4387610557833639,0.3799526270456503,True
Electrician,47-2111,minmax,-0.29676279868241995,-0.45714900947459086,True
Writer,27-3043,minmax,0.1915490743026293,0.17000430663221355,True
Software Dev,15-1252,rank_within_group,0.3571428571428571,0.3799526270456503,True
Electrician,47-2111,rank_within_group,-0.05603448275862066,-0.45714900947459086,True
Writer,27-3043,rank_within_group,0.3602941176470589,0.17000430663221355,True
