w_judge,frac_weeks_flip,n_flips,n_weeks
0.0,0.0,0,335
0.02,0.8208955223880597,275,335
0.04,0.0,0,335
0.06,0.0,0,335
0.08,0.0,0,335
0.1,0.0,0,335
0.12,0.0,0,335
0.14,0.0,0,335
0.16,0.0,0,335
0.18,0.0,0,335
0.2,0.0,0,335
0.22,0.0,0,335
0.24,0.0,0,335
0.26,0.0,0,335
0.28,0.0,0,335
0.3,0.0,0,335
0.32,0.0,0,335
0.34,0.0,0,335
0.36,0.0,0,335
0.38,0.0,0,335
0.4,0.0,0,335
0.42,0.0,0,335
0.44,0.0,0,335
0.46,0.0,0,335
0.48,0.0,0,335
0.5,0.0,0,335
0.52,0.0,0,335
0.54,0.0,0,335
0.56,0.0,0,335
0.58,0.0,0,335
0.6,0.0,0,335
0.62,0.0,0,335
0.64,0.0,0,335
0.66,0.0,0,335
0.68,0.0,0,335
0.7000000000000001,0.0,0,335
0.72,0.0,0,335
0.74,0.0,0,335
0.76,0.0,0,335
0.78,0.0,0,335
0.8,0.0,0,335
0.8200000000000001,0.0,0,335
0.84,0.0,0,335
0.86,0.0,0,335
0.88,0.0,0,335
0.9,0.0,0,335
0.92,0.0,0,335
0.9400000000000001,0.0,0,335
0.96,0.0029850746268656717,1,335
0.98,0.0029850746268656717,1,335
1.0,0.029850746268656716,10,335
