season,week,celebrity_name,ballroom_partner,J,f,j_share,combined_approx,is_eliminated_this_week
2,1,Drew Lachey,Cheryl Burke,24.0,1.7186262104545e-311,0.12307692307692308,0.12307692307692308,False
2,1,George Hamilton,Edyta Sliwinska,18.0,0.0,0.09230769230769231,0.09230769230769231,False
2,1,Giselle Fernandez,Jonathan Roberts,23.0,0.0,0.11794871794871795,0.11794871794871795,False
2,1,Jerry Rice,Anna Trebunskaya,21.0,0.0,0.1076923076923077,0.1076923076923077,False
2,1,Kenny Mayne,Andrea Hale,13.0,0.0,0.06666666666666667,0.06666666666666667,True
2,1,Lisa Rinna,Louis van Amstel,19.0,0.0,0.09743589743589744,0.09743589743589744,False
2,1,Master P,Ashly DelGrosso,12.0,0.0,0.06153846153846154,0.06153846153846154,False
2,1,Stacy Keibler,Tony Dovolani,22.0,1.0,0.11282051282051282,1.1128205128205129,False
2,1,Tatum O'Neal,Nick Kosovich,23.0,0.0,0.11794871794871795,0.11794871794871795,False
2,1,Tia Carrere,Maksim Chmerkoskiy,20.0,0.0,0.10256410256410256,0.10256410256410256,False
2,2,Drew Lachey,Cheryl Burke,27.0,8.099495477630851e-209,0.135,0.135,False
2,2,George Hamilton,Edyta Sliwinska,22.0,0.0,0.11,0.11,False
2,2,Giselle Fernandez,Jonathan Roberts,24.0,0.0,0.12,0.12,False
2,2,Jerry Rice,Anna Trebunskaya,23.0,0.0,0.115,0.115,False
2,2,Lisa Rinna,Louis van Amstel,20.0,0.0,0.1,0.1,False
2,2,Master P,Ashly DelGrosso,16.0,0.0,0.08,0.08,False
2,2,Stacy Keibler,Tony Dovolani,29.0,1.0,0.145,1.145,False
2,2,Tatum O'Neal,Nick Kosovich,17.0,0.0,0.085,0.085,True
2,2,Tia Carrere,Maksim Chmerkoskiy,22.0,0.0,0.11,0.11,False
2,3,Drew Lachey,Cheryl Burke,27.0,0.0,0.14835164835164835,0.14835164835164835,False
2,3,George Hamilton,Edyta Sliwinska,22.0,0.0,0.12087912087912088,0.12087912087912088,False
2,3,Giselle Fernandez,Jonathan Roberts,22.0,0.0,0.12087912087912088,0.12087912087912088,True
2,3,Jerry Rice,Anna Trebunskaya,19.0,0.0,0.1043956043956044,0.1043956043956044,False
2,3,Lisa Rinna,Louis van Amstel,25.0,0.0,0.13736263736263737,0.13736263736263737,False
2,3,Master P,Ashly DelGrosso,14.0,0.0,0.07692307692307693,0.07692307692307693,False
2,3,Stacy Keibler,Tony Dovolani,27.0,1.0,0.14835164835164835,1.1483516483516483,False
2,3,Tia Carrere,Maksim Chmerkoskiy,26.0,0.0,0.14285714285714285,0.14285714285714285,False
2,4,Drew Lachey,Cheryl Burke,28.0,1.6184462193305e-311,0.17721518987341772,0.17721518987341772,False
2,4,George Hamilton,Edyta Sliwinska,21.0,0.0,0.13291139240506328,0.13291139240506328,False
2,4,Jerry Rice,Anna Trebunskaya,24.0,0.0,0.1518987341772152,0.1518987341772152,False
2,4,Lisa Rinna,Louis van Amstel,26.0,0.0,0.16455696202531644,0.16455696202531644,False
2,4,Master P,Ashly DelGrosso,8.0,0.0,0.05063291139240506,0.05063291139240506,True
2,4,Stacy Keibler,Tony Dovolani,26.0,1.0,0.16455696202531644,1.1645569620253164,False
2,4,Tia Carrere,Maksim Chmerkoskiy,25.0,0.0,0.15822784810126583,0.15822784810126583,False
2,5,Drew Lachey,Cheryl Burke,27.0,2.1726077857019777e-260,0.17880794701986755,0.17880794701986755,False
2,5,George Hamilton,Edyta Sliwinska,24.0,0.0,0.15894039735099338,0.15894039735099338,False
2,5,Jerry Rice,Anna Trebunskaya,23.0,0.0,0.152317880794702,0.152317880794702,False
2,5,Lisa Rinna,Louis van Amstel,25.0,0.0,0.16556291390728478,0.16556291390728478,False
2,5,Stacy Keibler,Tony Dovolani,30.0,1.0,0.1986754966887417,1.1986754966887416,False
2,5,Tia Carrere,Maksim Chmerkoskiy,22.0,0.0,0.1456953642384106,0.1456953642384106,True
2,6,Drew Lachey,Cheryl Burke,30.0,0.0,0.22556390977443608,0.22556390977443608,False
2,6,George Hamilton,Edyta Sliwinska,23.0,0.0,0.17293233082706766,0.17293233082706766,True
2,6,Jerry Rice,Anna Trebunskaya,23.0,0.0,0.17293233082706766,0.17293233082706766,False
2,6,Lisa Rinna,Louis van Amstel,27.0,0.0,0.20300751879699247,0.20300751879699247,False
2,6,Stacy Keibler,Tony Dovolani,30.0,1.0,0.22556390977443608,1.225563909774436,False
2,7,Drew Lachey,Cheryl Burke,27.5,1.128754051214e-311,0.2696078431372549,0.2696078431372549,False
2,7,Jerry Rice,Anna Trebunskaya,20.5,0.0,0.20098039215686275,0.20098039215686275,False
2,7,Lisa Rinna,Louis van Amstel,26.5,0.0,0.25980392156862747,0.25980392156862747,True
2,7,Stacy Keibler,Tony Dovolani,27.5,1.0,0.2696078431372549,1.2696078431372548,False
2,8,Drew Lachey,Cheryl Burke,28.9998,1.8637311421616324e-303,0.34387291318097685,0.34387291318097685,False
2,8,Jerry Rice,Anna Trebunskaya,26.666600000000003,0.0,0.31620636785880724,0.31620636785880724,False
2,8,Stacy Keibler,Tony Dovolani,28.6665,1.0,0.33992071896021603,1.339920718960216,False
